,Title,Year,Metascore,Rating,Votes
0,Scott Pilgrim vs. the World,2010,69,7.5 ,"53,432"
1,Inception,2010,74,8.8 ,"87,586"
2,Legion,2010,32,5.3 ,"10,102"
3, The Social Network,2010,95,7.8 ,"41,754"
4, Shutter Island,2010,63,8.2 ,"10,142"
5, Love & Other Drugs,2010,55,6.7 ,"18,053"
6, The Next Three Days,2010,52,7.3 ,"03,659"
7, The Last Airbender,2010,20,4.0 ,"69,627"
8, The Town,2010,74,7.5 ,"08,492"
9, Insidious,2010,52,6.8 ,"33,018"
10, Black Swan,2010,79,8.0 ,"05,733"
11, Diary of a Wimpy Kid,2010,56,6.2 ,"56,415"
12, Harry Potter and the Deathly Hallows: Part 1,2010,65,7.7 ,"83,021"
13, I Spit on Your Grave,2010,27,6.2 ,"90,912"
14, Alice in Wonderland,2010,53,6.4 ,"33,579"
15, Percy Jackson & the Olympians: The Lightning Thief,2010,47,5.9 ,"97,248"
16, Tangled,2010,71,7.7 ,"82,022"
17, Incendies,2010,80,8.3 ,"91,465"
18, Remember Me,2010,40,7.1 ,"53,869"
19, Blue Valentine,2010,81,7.3 ,"07,690"
20, The Wolfman,2010,43,5.8 ,"10,426"
21, How to Train Your Dragon,2010,75,8.1 ,"81,369"
22, Hot Tub Time Machine,2010,63,6.4 ,"83,292"
23, Grown Ups,2010,30,6.0 ,"68,155"
24, The Expendables,2010,45,6.4 ,"60,437"
25, Easy A,2010,72,7.0 ,"09,513"
26, Toy Story 3,2010,92,8.3 ,"75,450"
27, Tron: Legacy,2010,49,6.8 ,"50,611"
28, Iron Man 2,2010,57,6.9 ,"53,393"
29, Despicable Me,2010,72,7.6 ,"71,936"
30, Robin Hood,2010,53,6.6 ,"79,287"
31, Kick-Ass,2010,66,7.6 ,"84,501"
32, RED,2010,60,7.0 ,"19,848"
33,Scott Pilgrim vs. the World,2010,69,7.5 ,"53,432"
34,Inception,2010,74,8.8 ,"87,586"
35,Legion,2010,32,5.3 ,"10,102"
